Date,Open,High,Low,Close,Adj Close,Volume
2025-01-01,100.56,101.12,99.37,99.76,99.76,929895
2025-01-02,100.47,103.2,99.75,101.21,101.21,624978
2025-01-03,99.58,100.66,97.57,99.3,99.3,2785650
2025-01-04,98.98,100.6,97.78,100.23,100.23,1169659
2025-01-05,101.02,102.37,100.13,102.27,102.27,1911779
2025-01-06,100.68,102.13,99.28,100.26,100.26,1609480
2025-01-07,101.49,103.81,99.65,103.7,103.7,2087688
2025-01-08,102.02,103.25,99.95,102.87,102.87,2016807
2025-01-09,103.18,105.44,102.57,103.22,103.22,1713781
2025-01-10,105.16,107.8,102.49,104.51,104.51,2401740
2025-01-11,105.05,106.46,103.62,104.21,104.21,1619786
2025-01-12,105.02,107.23,104.34,106.18,106.18,2740345
2025-01-13,107.1,108.01,105.65,107.99,107.99,2836016
2025-01-14,106.87,108.18,104.45,104.66,104.66,634638
2025-01-15,105.88,107.38,105.21,107.19,107.19,2878925
2025-01-16,108.7,109.99,106.56,107.92,107.92,2424564
2025-01-17,106.49,107.34,104.13,105.86,105.86,2951931
2025-01-18,105.57,107.53,104.17,107.52,107.52,1080205
2025-01-19,107.56,108.29,106.94,107.09,107.09,1171013
2025-01-20,108.26,109.82,107.6,108.45,108.45,2463143
2025-01-21,108.57,111.5,105.92,105.98,105.98,980464
2025-01-22,106.71,108.55,105.54,107.47,107.47,967883
2025-01-23,106.64,107.54,106.13,107.15,107.15,1604733
2025-01-24,109.04,111.44,107.27,107.71,107.71,1751768
2025-01-25,109.08,110.85,108.08,109.12,109.12,1177585
2025-01-26,109.28,111.73,107.45,107.45,107.45,1859609
2025-01-27,107.4,108.18,105.99,108.15,108.15,1789807
2025-01-28,107.11,108.21,105.19,105.43,105.43,2538391
2025-01-29,106.69,109.63,104.86,105.46,105.46,2493478
2025-01-30,107.25,108.16,105.43,107.09,107.09,1388346
2025-01-31,108.81,111.2,106.59,109.88,109.88,2173494
2025-02-01,111.86,113.98,110.26,112.19,112.19,1007528
2025-02-02,111.18,111.84,110.63,111.3,111.3,2968096
